image_path,label,temp,hum,gas,color_r,color_g,color_b
split_dataset\train\FreshApple\freshApple (108).jpg,0,25.958488151824067,50.95421232974692,66.6432050128574,249.64505395423896,176.67238879264173,125.7792519454173
split_dataset\train\FreshApple\freshApple (109).jpg,0,22.840156130852936,53.355085115707794,72.95987132125505,203.7384042615953,158.61553880228453,129.858009869283
split_dataset\train\FreshApple\freshApple (110).jpg,0,25.3122365089455,49.3034385992824,60.68472918277838,188.77446959535854,150.48777989278844,118.11727895473386
split_dataset\train\FreshApple\freshApple (131).jpg,0,23.082522505139963,53.06615474073656,38.977591421876255,196.77169020477268,134.43087733638725,138.32807223608498
split_dataset\train\FreshApple\freshApple (134).jpg,0,20.80791288066939,53.17959563011424,70.4471944902952,217.70797775603026,167.58405105591515,120.04778132133741
split_dataset\train\FreshApple\freshApple (143).jpg,0,24.821280560877376,57.05816874975736,59.25046075183185,233.13278741242314,175.25381424985346,111.41368910196091
split_dataset\train\FreshApple\freshApple (144).jpg,0,21.747710348370298,54.61343960816555,69.88280047855463,158.41007035453734,200.4999313179438,100.91427687236941
split_dataset\train\FreshApple\freshApple (145).jpg,0,25.039912689881533,51.515050430435515,78.52442935923831,163.32881509730268,175.4722934500042,117.5231699873485
split_dataset\train\FreshApple\freshApple (146).jpg,0,23.49015082830736,54.872907106728896,38.55547340602929,194.25316772596258,184.21412582625425,121.80676629029969
split_dataset\train\FreshApple\freshApple (147).jpg,0,24.57581293922459,53.877372608905816,29.65149515545771,217.05893039132096,147.49691702846974,99.55177069460692
split_dataset\train\FreshApple\freshApple (148).jpg,0,20.749623365507347,60.99134062171558,70.30183095013842,209.3566677241879,147.96001177921133,142.60107087640733
split_dataset\train\FreshApple\freshApple (149).jpg,0,23.57359059422742,51.70732519442505,70.44121942473544,210.92900843601194,194.44995387458673,124.11357900576665
split_dataset\train\FreshApple\freshApple (150).jpg,0,22.8588694503838,58.93997142107783,77.74963315702442,225.10581620434158,156.3125049889753,104.42526140275186
split_dataset\train\FreshApple\freshApple (151).jpg,0,23.016374722850422,55.543765431369025,77.41500460934665,213.63678734155118,137.41486095177265,132.30785677156132
split_dataset\train\FreshApple\freshApple (152).jpg,0,23.211482240067966,54.03975120159069,78.34344380755134,192.5778491180846,145.0298288381672,116.2946749578736
split_dataset\train\FreshApple\freshApple (153).jpg,0,24.129424961664544,56.4358312886712,76.29564588508703,187.6940140742556,160.39948998906283,152.24566975207716
split_dataset\train\FreshApple\freshApple (154).jpg,0,20.620616903433632,51.198685771909666,56.615211066132986,153.4155649707319,148.1371724248555,130.77159815873145
split_dataset\train\FreshApple\freshApple (155).jpg,0,22.84401036721332,51.89070014641082,85.34571440375552,171.3725144381809,189.83689908456134,120.0478985867877
split_dataset\train\FreshApple\freshApple (156).jpg,0,24.70323368580177,53.27397489969505,58.80622637268466,170.6306286881451,184.8465372419878,111.75150652988096
split_dataset\train\FreshApple\freshApple (157).jpg,0,25.17163278726219,65.07428164385671,70.6871251226348,180.20845813730253,160.87027642499808,111.22663413808789
split_dataset\train\FreshApple\freshApple (159).jpg,0,22.216579138204718,61.90472913161935,58.46011886430554,139.97076776399942,162.19368740743977,134.7488495523355
split_dataset\train\FreshApple\freshApple (161).jpg,0,23.611347634183577,62.56504580359138,62.786340073267105,193.81145365571788,148.57669151661304,126.42809450905459
split_dataset\train\FreshApple\freshApple (164).jpg,0,22.260740769801156,50.651377622363356,59.84640913878182,190.9032058231977,172.66626736733866,121.29918176491383
split_dataset\train\FreshApple\freshApple (166).jpg,0,23.07568831866126,53.67123484030036,75.00436266260091,196.71547950004856,162.57619549609487,102.12553690016468
split_dataset\train\FreshApple\freshApple (167).jpg,0,23.479644618418586,51.43542513483322,57.62889142287929,198.73721580526538,174.15012602862095,123.91384766539426
split_dataset\train\FreshApple\freshApple (169).jpg,0,23.29124896663002,57.317836646798035,88.50186920899763,184.0047653152693,137.3463066645275,137.6321389137836
split_dataset\train\FreshApple\freshApple (170).jpg,0,23.672427031775907,63.520495948466596,73.53520883737265,178.57168478352256,156.49903887615562,135.29722143232453
split_dataset\train\FreshApple\freshApple (171).jpg,0,21.504788487994265,50.74746391860101,41.053444486057565,179.18700435165252,166.3219959169694,134.6400631206348
split_dataset\train\FreshApple\freshApple (172).jpg,0,22.096792586452068,53.46123394691626,83.54339567890577,182.63070842482773,173.93244857963006,140.54864331496722
split_dataset\train\FreshApple\freshApple (174).jpg,0,22.664646832695166,57.342739774676346,64.19289974580008,164.8467967634915,213.00561942007013,107.54304729316777
split_dataset\train\FreshApple\freshApple (175).jpg,0,22.861103255274553,55.779316748371464,40.43946319208879,198.71578240969131,182.2794506659449,153.42368540438483
